CB Link ID,Borough,Community Board,Council District,Latitude,Longitude,Project Status,Smallest PPT,Street Address,Postcode,Link Site ID,Link Smoke Tested and Activated (A),Link Installation (A),Neighborhood Tabulation Area (NTA),Building Identification Number (BIN),Borough-Block-Lot (BBL),Census Tract (CT),Cross Street 1,Cross Street 2,IxN Corner,GF Permit Application ID,Location,X Coordinate,Y Coordinate
LINK-001689,Manhattan,109,7,40.807508,-73.964488,Live,137848,2943 BROADWAY,10025,mn-09-137848,09/06/2016,08/13/2016,Morningside Heights,1057379,1018960065,1020500,WEST 115 STREET,WEST 116 STREET,NW,,"(40.807508, -73.964488)",994080.9174803838,233475.98631232604
LINK-019315,Bronx,205,14,40.850173,-73.910282,Live,146097,1 EAST 177 STREET,10453,bx-05-146097,07/13/2018,06/20/2018,Mount Hope,2008247,2028530001,2023301,JEROME AVENUE,WALTON AVENUE,SE,82392,"(40.850173, -73.91028173)",1009071.1139637734,249031.1294638291
LINK-013759,Manhattan,106,4,40.754371,-73.965650,Live,121680,400 EAST 51 STREET,10022,mn-06-121680,06/07/2018,04/18/2018,Turtle Bay-East Midtown,1040116,1013627502,1008603,1 AVENUE,BEEKMAN PLACE,SE,,"(40.75437122, -73.96565023)",993766.7646062423,214116.32931582257
LINK-021932,Brooklyn,316,37,40.677862,-73.904301,Live,145963,2440 FULTON STREET,11233,bk-16-145963,01/05/2018,09/30/2017,Ocean Hill,3042309,3015540016,3036700,VAN SINDEREN AVENUE,SACKMAN STREET,MIDBLOCK,81907,"(40.67786155, -73.90430067)",1010794.3958696757,186254.15426020697
LINK-014655,Manhattan,110,9,40.806249,-73.950095,Live,120042,2013 ADAM CLAYTON POWELL JR. BOULEVARD,10027,mn-10-120042,01/11/2017,10/15/2016,Central Harlem South,1057660,1019050063,1022000,WEST 121 STREET,WEST 120 STREET,SE,,"(40.80624896, -73.95009459)",998065.759038427,233019.21629916877
LINK-000464,Manhattan,104,3,40.744260,-73.999398,Live,107977,221 8 AVENUE,10011,mn-04-107977,04/06/2016,03/16/2016,Hudson Yards-Chelsea-Flatiron-Union Square,1087948,1007457503,1008900,WEST 21 STREET,WEST 22 STREET,NW,,"(40.74426003, -73.99939787)",984416.8482620848,210430.63208220527
LINK-012363,Manhattan,106,4,40.754991,-73.965190,Live,121677,944 1 AVENUE,10022,mn-06-121677,05/09/2018,01/24/2018,Turtle Bay-East Midtown,1081200,1013630047,1008603,EAST 52 STREET,EAST 51 STREET,SE,,"(40.75499065, -73.96518956)",993894.3056971392,214342.0581378527
LINK-011861,Bronx,205,14,40.853842,-73.909388,Live,119610,48 WEST BURNSIDE AVENUE,10453,bx-05-119610,02/08/2017,01/25/2017,University Heights-Morris Heights,2008631,2028700026,2024300,GRAND AVENUE,DAVIDSON AVENUE,SE,,"(40.85384203, -73.90938798)",1009316.9925638655,250368.15076380596
LINK-000419,Manhattan,105,4,40.754951,-73.983899,Live,122814,1100 6 AVENUE,10036,mn-05-122814,04/03/2018,07/29/2017,Midtown-Midtown South,1034195,1012580001,1009600,WEST 42 STREET,WEST 43 STREET,NE,,"(40.75495098, -73.98389868)",988710.9073570668,214326.09876501933
LINK-000326,Manhattan,106,4,40.752623,-73.973254,Live,121531,716 3 AVENUE,10017,mn-06-121531,06/07/2017,04/29/2017,Turtle Bay-East Midtown,1036180,1012990040,1009200,EAST 45 STREET,EAST 44 STREET,SW,,"(40.75262285, -73.97325385)",991660.3406515211,213478.60686533153
